brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P1-L1,,,2-24,2-24-A-IV,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P2-E3,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P2-E3,,,3-3,3-3-D,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P2-E3,,,306-2,306-2,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P2-E3,,,306-2,306-2-A,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P2-L2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P2-L2,,,3-3,3-3-A,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P2-L2,,,3-3,3-3-D-I-III,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P2-L2,,,306-2,306-2,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P2-L2,,,306-2,306-2-A,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P2-L3,,,301-2,301-2,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P2-L3,,,301-2,301-2-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E1,,,401-2,401-2,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P3-E10,,,403-1,403-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E10a,,,403-1,403-1-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E10a,,,403-1,403-1-B,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-10,403-10,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-10,403-10-A,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-10,403-10-B-II,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-9,403-9,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-9,403-9-A-I-V,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E11,,,403-9,403-9-B-I-V,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E12,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E12,,,3-3,3-3-D-I-III,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E12,,,403-10,403-10,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E12,,,403-10,403-10-C-III,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E12,,,403-9,403-9,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E12,,,403-9,403-9-C-III,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E12,,,403-9,403-9-D,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E13,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P3-E14,,,3-3,3-3-E-I,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E15,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E15,,,403-10,403-10,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E15,,,403-10,403-10-C-II-III,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E15,,,403-9,403-9,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E15,,,403-9,403-9-C-II-III,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E15,,,403-9,403-9-D,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P3-E1a,,,401-2,401-2-A-I,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P3-E3,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E3,,,3-3,3-3-C,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3-A,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3-B,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3-C,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3-D,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E5,,,401-3,401-3-E,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P3-E6,,,2-25,2-25-B,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P3-E7,,,2-30,2-30,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P3-E7,,,2-30,2-30-A,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P3-E8,,,404-1,404-1,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P3-E8,,,404-1,404-1-A-I,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P3-E8,,,404-2,404-2,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E8,,,404-2,404-2-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-E9,,,404-3,404-3,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P3-E9,,,404-3,404-3-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P3-L3,,,3-3,3-3-D-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P3-L4,,,404-2,404-2,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P3-L4,,,404-2,404-2-B,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P4-E1,,,2-29,2-29,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-E1,,,2-29,2-29-A-I,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
