brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P4-E2,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-E2,3-1-B,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L1,2-12,2-12,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P4-L1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L2,3-1-A-I-II,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L2,3-1-B,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L3,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P5-E1,2-24,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E1,2-24-A-IV,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E1,205-2,205-2,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P5-E1,205-2-E,205-2,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P5-E1,404-1,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E1,404-1-A-I-II,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E10,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-E10,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-E2,202-1,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E2,202-1-A,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E2,202-1-B,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E3,2-19,2-19,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P5-E3,2-19-A-I-V,2-19,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P5-E5,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-B,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-D,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E6,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P5-E7,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E7,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E8,2-23,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-A-IV,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-E,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-F,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-24,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E8,2-24-A-III,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E8,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-L1,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,2-25-B,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-L1,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L1,3-3-D-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P5-L2,3-1-A-I,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P5-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-L2,3-3-A,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-3-C,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-3-D,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P5-L4,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P6-E1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E11,303-1,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E11,303-1-A,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E11,303-1-B,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E12,2-27,2-27,7,high_expansion,direct,direct,direct,low_precision,expansion_7
P6-E12,2-27-B-I-II,2-27,7,high_expansion,direct,direct,direct,low_precision,expansion_7
P6-E2,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P6-E3,303-5,303-5,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P6-E3,303-5-A,303-5,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P6-E4,303-1-A,303-1,5,moderate_expansion,direct,can_be_covered_by,partial,low_precision,expansion_5
P6-E5,305-7,305-7,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-E5,305-7-A-I-VII,305-7,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-E7,305-5,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-A,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-B,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-C,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-D,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E9,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P6-E9,3-3-C,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P6-E9,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P6-E9,306-2,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P6-E9,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P6-L1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L4,305-3,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L4,305-3-A,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L4,305-3-B,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-2,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-2-A-I-VI,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-2-B-I-IV,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L6,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P7-E2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P8-E2,2-25,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P8-E2,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
