brsr_id,brsr_text,brsr_match_type,brsr_mapping_semantics,gri_code_from_brsr,gri_standard,gri_disclosure,gri_granularity,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_paragraph,esrs_name,esrs_data_type,gri_esrs_source,interop_mapping_type,interop_esrs_requirement,mapping_chain,mapping_confidence,gri_parent_disclosure,esrs_expansion_count,expansion_class,precision_class,precision_reason,candidate_status
B7,"Statement by Director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)",direct,direct,2-22,GRI 2,2-22,disclosure,SBM-1_23,ESRS 2,ESRS 2,SBM-1,40 g,Disclosure of elements of strategy that relate to or impact sustainability matters,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 SBM-1 §40 (g),BRSR -> GRI -> ESRS,transitive_official,2-22,2,small_expansion,review,small_expansion_disclosure_level,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,GOV-1_11,ESRS 2,ESRS 2,GOV-1,22 c i,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,GOV-1_12,ESRS 2,ESRS 2,GOV-1,22 c ii,"Information about reporting lines to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,G1-3_03,ESRS G1,G1,G1-3,18 c,"Information about process to report outcomes to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13,GRI 2,2-13,disclosure,GOV-1_11,ESRS 2,ESRS 2,GOV-1,22 c i,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_disclosure_level,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13,GRI 2,2-13,disclosure,GOV-1_12,ESRS 2,ESRS 2,GOV-1,22 c ii,"Information about reporting lines to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_disclosure_level,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13,GRI 2,2-13,disclosure,G1-3_03,ESRS G1,G1,G1-3,18 c,"Information about process to report outcomes to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_disclosure_level,candidate
P3-E10,"Health and safety management system: a. Whether an occupational health and safety management system has been implemented by the entity? (Yes/ No). If yes, the coverage such system? b. What are the processes used to identify work-related hazards and assess risks on a routine and non- routine basis by the entity? c. Whether you have processes for workers to report the work related hazards and to remove themselves from such risks. (Y/N) d. Do the employees/ worker of the entity have access to non- occupational medical and healthcare services? (Yes/ No)",direct,direct,403-1,GRI 403,403-1,disclosure,S1-1_09,ESRS S1,S1,S1-1,23,Workplace accident prevention policy or management system is in place,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-1 §23,BRSR -> GRI -> ESRS,transitive_official,403-1,1,one_to_one,review,one_to_one_partial_requirement,candidate
P3-E10a,,direct,direct,403-1-A,GRI 403,403-1,requirement,S1-1_09,ESRS S1,S1,S1-1,23,Workplace accident prevention policy or management system is in place,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-1 §23,BRSR -> GRI -> ESRS,transitive_official,403-1,1,one_to_one,review,one_to_one_partial_requirement,candidate
P3-E10a,,direct,direct,403-1-B,GRI 403,403-1,requirement,S1-1_09,ESRS S1,S1,S1-1,23,Workplace accident prevention policy or management system is in place,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-1 §23,BRSR -> GRI -> ESRS,transitive_official,403-1,1,one_to_one,review,one_to_one_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-A,GRI 403,403-10,requirement,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-A,GRI 403,403-10,requirement,S1-14_08,ESRS S1,S1,S1-14,89,Number of cases of recordable work-related ill health of non-employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-A,GRI 403,403-10,requirement,S1-14_12,ESRS S1,S1,S1-14,AR 94,Number of cases of recordable work-related ill health detected among former own workforce,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-B-II,GRI 403,403-10,requirement,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-B-II,GRI 403,403-10,requirement,S1-14_08,ESRS S1,S1,S1-14,89,Number of cases of recordable work-related ill health of non-employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10-B-II,GRI 403,403-10,requirement,S1-14_12,ESRS S1,S1,S1-14,AR 94,Number of cases of recordable work-related ill health detected among former own workforce,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_08,ESRS S1,S1,S1-14,89,Number of cases of recordable work-related ill health of non-employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E11,"Details of safety related incidents, in the following format for employees & workers: Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Total recordable work-related injuries No. of fatalities Employee High-consequence work-related injury or ill-health (excluding fatalities)",direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_12,ESRS S1,S1,S1-14,AR 94,Number of cases of recordable work-related ill health detected among former own workforce,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10-C-III,GRI 403,403-10,requirement,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10-C-III,GRI 403,403-10,requirement,S1-14_08,ESRS S1,S1,S1-14,89,Number of cases of recordable work-related ill health of non-employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10-C-III,GRI 403,403-10,requirement,S1-14_12,ESRS S1,S1,S1-14,AR 94,Number of cases of recordable work-related ill health detected among former own workforce,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_08,ESRS S1,S1,S1-14,89,Number of cases of recordable work-related ill health of non-employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E12,Describe the measures taken by the entity to ensure a safe and healthy work place. Describe the measures taken by the entity to ensure a safe and healthy work place.,direct,direct,403-10,GRI 403,403-10,disclosure,S1-14_12,ESRS S1,S1,S1-14,AR 94,Number of cases of recordable work-related ill health detected among former own workforce,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
P3-E15,Provide details of any corrective action taken or underway to address safety-related incidents (if any) and on significant risks / concerns arising from assessments of health & safety practices and working conditions. Provide details of any corrective action taken or underway to address safety-related incidents (if any) and on significant risks / concerns arising from assessments of health & safety practices and working conditions.,direct,direct,403-10-C-II-III,GRI 403,403-10,requirement,S1-14_06,ESRS S1,S1,S1-14,88 d,Number of cases of recordable work-related ill health of employees,Integer,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,"ESRS S1 S1-4, §38 (a); S1-14 §88 (b) and (d); §89; §AR 82",BRSR -> GRI -> ESRS,transitive_official,403-10,3,small_expansion,review,small_expansion_partial_requirement,candidate
