brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P3-E3,3-3-C,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P3-E5,401-3,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-A,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-B,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-C,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-D,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-E,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E6,2-25-B,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P3-E7,2-30,2-30,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P3-E7,2-30-A,2-30,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P3-E8,404-1,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P3-E8,404-1-A-I,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P3-E8,404-2,404-2,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E8,404-2-A,404-2,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E9,404-3,404-3,2,moderate_expansion,direct,direct,direct,review,small_expansion
P3-E9,404-3-A,404-3,2,moderate_expansion,direct,direct,direct,review,small_expansion
P3-L3,3-3-D-II,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P3-L4,404-2,404-2,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-L4,404-2-B,404-2,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P4-E1,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
