brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics
P3-E15,403-9-C-II-III,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E15,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E1a,401-2-A-I,401-2,9,high_expansion,partial_requirement,direct,direct
P3-E3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P3-E3,3-3-C,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P3-E5,401-3,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E5,401-3-A,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E5,401-3-B,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E5,401-3-C,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E5,401-3-D,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E5,401-3-E,401-3,3,moderate_expansion,partial_requirement,direct,direct
P3-E6,2-25-B,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P3-E7,2-30,2-30,5,moderate_expansion,direct,direct,direct
P3-E7,2-30-A,2-30,5,moderate_expansion,direct,direct,direct
P3-E8,404-1,404-1,4,moderate_expansion,direct,direct,direct
P3-E8,404-1-A-I,404-1,4,moderate_expansion,direct,direct,direct
P3-E8,404-2,404-2,1,low_expansion,partial_requirement,direct,direct
P3-E8,404-2-A,404-2,1,low_expansion,partial_requirement,direct,direct
P3-E9,404-3,404-3,2,moderate_expansion,direct,direct,direct
P3-E9,404-3-A,404-3,2,moderate_expansion,direct,direct,direct
P3-L3,3-3-D-II,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P3-L4,404-2,404-2,1,low_expansion,partial_requirement,direct,direct
P3-L4,404-2-B,404-2,1,low_expansion,partial_requirement,direct,direct
P4-E1,2-29,2-29,31,very_high_expansion,direct,direct,direct
P4-E1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct
P4-E2,2-29,2-29,31,very_high_expansion,direct,direct,direct
P4-E2,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct
P4-E2,3-1,3-1,8,high_expansion,direct,direct,direct
P4-E2,3-1-B,3-1,8,high_expansion,direct,direct,direct
P4-L1,2-12,2-12,6,high_expansion,direct,direct,direct
P4-L1,2-13,2-13,3,moderate_expansion,direct,direct,direct
P4-L1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct
P4-L2,3-1,3-1,8,high_expansion,direct,direct,direct
P4-L2,3-1-A-I-II,3-1,8,high_expansion,direct,direct,direct
P4-L2,3-1-B,3-1,8,high_expansion,direct,direct,direct
P4-L3,2-29,2-29,31,very_high_expansion,direct,direct,direct
P4-L3,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct
P4-L3,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct
P4-L3,2-29-A-III,2-29,31,very_high_expansion,direct,direct,direct
P5-E1,2-24,2-24,6,high_expansion,direct,direct,direct
P5-E1,2-24-A-IV,2-24,6,high_expansion,direct,direct,direct
P5-E1,205-2,205-2,5,moderate_expansion,direct,direct,direct
P5-E1,205-2-E,205-2,5,moderate_expansion,direct,direct,direct
P5-E1,404-1,404-1,4,moderate_expansion,direct,direct,direct
P5-E1,404-1-A-I-II,404-1,4,moderate_expansion,direct,direct,direct
P5-E10,3-3,3-3,186,very_high_expansion,direct,direct,direct
P5-E10,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P5-E2,202-1,202-1,4,moderate_expansion,direct,direct,direct
P5-E2,202-1-A,202-1,4,moderate_expansion,direct,direct,direct
P5-E2,202-1-B,202-1,4,moderate_expansion,direct,direct,direct
P5-E2,405-2,405-2,3,moderate_expansion,direct,direct,direct
P5-E2,405-2-A,405-2,3,moderate_expansion,direct,direct,direct
P5-E3,2-19,2-19,6,high_expansion,partial_requirement,direct,direct
P5-E3,2-19-A-I-V,2-19,6,high_expansion,partial_requirement,direct,direct
P5-E3,2-21,2-21,2,moderate_expansion,partial_requirement,direct,direct
P5-E3,2-21-A,2-21,2,moderate_expansion,partial_requirement,direct,direct
P5-E4,2-13,2-13,3,moderate_expansion,direct,direct,direct
P5-E4,2-13-A-I-II,2-13,3,moderate_expansion,direct,direct,direct
P5-E5,2-25,2-25,43,very_high_expansion,direct,direct,direct
P5-E5,2-25-B,2-25,43,very_high_expansion,direct,direct,direct
P5-E5,2-25-D,2-25,43,very_high_expansion,direct,direct,direct
P5-E5,2-25-E,2-25,43,very_high_expansion,direct,direct,direct
P5-E6,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P5-E6,406-1,406-1,3,moderate_expansion,direct,can_be_covered_by,partial
P5-E6,406-1-A,406-1,3,moderate_expansion,direct,can_be_covered_by,partial
P5-E7,2-25,2-25,43,very_high_expansion,direct,direct,direct
P5-E7,2-25-E,2-25,43,very_high_expansion,direct,direct,direct
P5-E8,2-23,2-23,20,very_high_expansion,partial_requirement,direct,direct
P5-E8,2-23-A-IV,2-23,20,very_high_expansion,partial_requirement,direct,direct
P5-E8,2-23-E,2-23,20,very_high_expansion,partial_requirement,direct,direct
P5-E8,2-23-F,2-23,20,very_high_expansion,partial_requirement,direct,direct
P5-E8,2-24,2-24,6,high_expansion,direct,direct,direct
P5-E8,2-24-A-III,2-24,6,high_expansion,direct,direct,direct
P5-E8,3-3,3-3,186,very_high_expansion,direct,direct,direct
P5-L1,2-25,2-25,43,very_high_expansion,direct,direct,direct
P5-L1,2-25-B,2-25,43,very_high_expansion,direct,direct,direct
P5-L1,2-25-E,2-25,43,very_high_expansion,direct,direct,direct
P5-L1,3-3,3-3,186,very_high_expansion,direct,direct,direct
P5-L1,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P5-L1,3-3-D-II,3-3,186,very_high_expansion,direct,direct,direct
P5-L2,3-1,3-1,8,high_expansion,direct,direct,direct
P5-L2,3-1-A-I,3-1,8,high_expansion,direct,direct,direct
P5-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct
P5-L2,3-3-A,3-3,186,very_high_expansion,direct,direct,direct
P5-L2,3-3-C,3-3,186,very_high_expansion,direct,direct,direct
P5-L2,3-3-D,3-3,186,very_high_expansion,direct,direct,direct
P5-L3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P5-L4,3-3,3-3,186,very_high_expansion,direct,direct,direct
P6-E1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct
P6-E1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct
P6-E1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct
P6-E1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct
P6-E1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct
P6-E1,302-3,302-3,1,low_expansion,direct,direct,direct
P6-E1,302-3-A,302-3,1,low_expansion,direct,direct,direct
P6-E10,304-1,304-1,1,low_expansion,partial_requirement,direct,direct
P6-E10,304-1-A-I-V,304-1,1,low_expansion,partial_requirement,direct,direct
P6-E11,303-1,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage
P6-E11,303-1-A,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage
P6-E11,303-1-B,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage
P6-E11,413-1,413-1,1,low_expansion,direct,no_direct_linkage,no_direct_linkage
P6-E11,413-1-A-II,413-1,1,low_expansion,direct,no_direct_linkage,no_direct_linkage
P6-E12,2-27,2-27,7,high_expansion,direct,direct,direct
P6-E12,2-27-B-I-II,2-27,7,high_expansion,direct,direct,direct
P6-E2,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P6-E3,303-3,303-3,1,low_expansion,partial_requirement,direct,direct
P6-E3,303-3-A-I-V,303-3,1,low_expansion,partial_requirement,direct,direct
P6-E3,303-5,303-5,4,moderate_expansion,direct,direct,direct
P6-E3,303-5-A,303-5,4,moderate_expansion,direct,direct,direct
P6-E4,303-1-A,303-1,5,moderate_expansion,direct,can_be_covered_by,partial
P6-E4,303-2-A,303-2,2,moderate_expansion,partial_requirement,can_be_covered_by,partial
P6-E5,305-7,305-7,5,moderate_expansion,partial_requirement,direct,direct
P6-E5,305-7-A-I-VII,305-7,5,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-1,305-1,3,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-1-B,305-1,3,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-2,305-2,2,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-2-A,305-2,2,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-2-B,305-2,2,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-2-C,305-2,2,moderate_expansion,partial_requirement,direct,direct
P6-E6,305-4,305-4,2,moderate_expansion,direct,direct,direct
P6-E6,305-4-A,305-4,2,moderate_expansion,direct,direct,direct
P6-E6,305-4-B,305-4,2,moderate_expansion,direct,direct,direct
P6-E6,305-4-C,305-4,2,moderate_expansion,direct,direct,direct
P6-E7,305-5,305-5,7,high_expansion,partial_requirement,direct,direct
P6-E7,305-5-A,305-5,7,high_expansion,partial_requirement,direct,direct
P6-E7,305-5-B,305-5,7,high_expansion,partial_requirement,direct,direct
P6-E7,305-5-C,305-5,7,high_expansion,partial_requirement,direct,direct
P6-E7,305-5-D,305-5,7,high_expansion,partial_requirement,direct,direct
P6-E8,306-3,306-3,3,moderate_expansion,broader_topic; direct,direct,direct
P6-E8,306-3-A,306-3,3,moderate_expansion,broader_topic; direct,direct,direct
P6-E8,306-4-A,306-4,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-4-B-I-III,306-4,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-4-C-I-III,306-4,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-5,306-5,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-5-A,306-5,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-5-B-I-III,306-5,1,low_expansion,partial_requirement,direct,direct
P6-E8,306-5-C-I-IV,306-5,1,low_expansion,partial_requirement,direct,direct
P6-E9,3-3,3-3,186,very_high_expansion,direct,direct,direct
P6-E9,3-3-C,3-3,186,very_high_expansion,direct,direct,direct
P6-E9,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P6-E9,306-2,306-2,9,high_expansion,partial_requirement,direct,direct
P6-E9,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct
P6-L1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct
P6-L1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct
P6-L1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct
P6-L1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct
P6-L1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct
P6-L2,303-4,303-4,1,low_expansion,partial_requirement,direct,direct
P6-L2,303-4-A-I-IV,303-4,1,low_expansion,partial_requirement,direct,direct
P6-L3,303-3,303-3,1,low_expansion,partial_requirement,direct,direct
P6-L3,303-3-B-I-IV,303-3,1,low_expansion,partial_requirement,direct,direct
P6-L3,303-4,303-4,1,low_expansion,partial_requirement,direct,direct
P6-L3,303-4-A-I-II,303-4,1,low_expansion,partial_requirement,direct,direct
P6-L4,305-3,305-3,5,moderate_expansion,partial_requirement,direct,direct
P6-L4,305-3-A,305-3,5,moderate_expansion,partial_requirement,direct,direct
P6-L4,305-3-B,305-3,5,moderate_expansion,partial_requirement,direct,direct
P6-L4,305-4,305-4,2,moderate_expansion,direct,direct,direct
P6-L4,305-4-A,305-4,2,moderate_expansion,direct,direct,direct
P6-L4,305-4-B,305-4,2,moderate_expansion,direct,direct,direct
P6-L4,305-4-C,305-4,2,moderate_expansion,direct,direct,direct
P6-L5,304-2,304-2,5,moderate_expansion,partial_requirement,direct,direct
P6-L5,304-2-A-I-VI,304-2,5,moderate_expansion,partial_requirement,direct,direct
P6-L5,304-2-B-I-IV,304-2,5,moderate_expansion,partial_requirement,direct,direct
P6-L5,304-3,304-3,2,moderate_expansion,partial_requirement,direct,direct
P6-L5,304-3-A,304-3,2,moderate_expansion,partial_requirement,direct,direct
P6-L6,3-3,3-3,186,very_high_expansion,direct,direct,direct
P7-E2,3-3,3-3,186,very_high_expansion,direct,direct,direct
P8-E1,413-1-A-I-III,413-1,1,low_expansion,direct,can_be_covered_by,partial
P8-E2,2-25,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P8-E2,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P8-E2,413-1,413-1,1,low_expansion,direct,can_be_covered_by,partial
P8-E2,413-1-A-IV,413-1,1,low_expansion,direct,can_be_covered_by,partial
P8-E3,2-25-B,2-25,43,very_high_expansion,direct,direct,direct
P8-E3,3-3,3-3,186,very_high_expansion,direct,direct,direct
P8-E3,413-1-A-VIII,413-1,1,low_expansion,direct,direct,direct
P8-L1,3-3,3-3,186,very_high_expansion,direct,direct,direct
P8-L1,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P8-L1,413-1,413-1,1,low_expansion,direct,direct,direct
P8-L1,413-1-A-IV,413-1,1,low_expansion,direct,direct,direct
P8-L2,413-1-A-IV,413-1,1,low_expansion,direct,can_be_covered_by,partial
P8-L3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P8-L4,201-1-A,201-1,1,low_expansion,partial_requirement,can_be_covered_by,partial
P8-L5,3-3,3-3,186,very_high_expansion,direct,direct,direct
P8-L5,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P8-L6,413-1-A-IVC,413-1,1,low_expansion,direct,can_be_covered_by,partial
P9-E1,2-25-B,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P9-E1,2-25-D,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P9-E1,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P9-E3,418-1,418-1,1,low_expansion,none,direct,direct
P9-E3,418-1-A-I-II,418-1,1,low_expansion,none,direct,direct
P9-E3,418-1-B,418-1,1,low_expansion,none,direct,direct
P9-E5,2-23-A,2-23,20,very_high_expansion,partial_requirement,can_be_covered_by,partial
P9-E5,2-23-C,2-23,20,very_high_expansion,partial_requirement,can_be_covered_by,partial
P9-E5,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P9-E6,3-3,3-3,186,very_high_expansion,direct,direct,direct
P9-E6,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct
P9-L1,2-6-B-I,2-6,11,high_expansion,direct,can_be_covered_by,partial
P9-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct
P9-L5,418-1,418-1,1,low_expansion,none,direct,direct
P9-L5,418-1-A,418-1,1,low_expansion,none,direct,direct
